time	T1	T2	T3	T4
2019-12-10T13:29:50	-100	-100	-100	-100
2019-12-10T13:30:00	-100	-100	-100	-100
2019-12-10T13:30:10	-100	-100	-100	-100
2019-12-10T13:30:20	-100	-100	-100	-100
2019-12-10T13:30:30	-100	-100	-100	-100
2019-12-10T13:30:40	-100	-100	-100	-100
2019-12-10T13:30:50	-100	-100	-100	-100
2019-12-10T13:31:00	-100	-100	-100	-100
2019-12-10T13:31:10	-100	-100	-100	-100
2019-12-10T13:31:20	-100	-100	-100	-100
2019-12-10T13:31:30	-100	-100	-100	-100
2019-12-10T13:31:40	-100	-100	-100	-100
2019-12-10T13:31:50	-100	-100	-100	-100
2019-12-10T13:32:00	-100	-100	-100	-100
2019-12-10T13:32:10	-100	-100	-100	-100
2019-12-10T13:32:20	-100	-100	-100	-100
2019-12-10T13:32:30	-100	-100	-100	-100
2019-12-10T13:32:40	-100	-100	-100	-100
2019-12-10T13:32:50	-100	-100	-100	-100
2019-12-10T13:33:00	-100	-100	-100	-100
2019-12-10T13:33:10	-100	-100	-100	-100
2019-12-10T13:33:20	-100	-100	-100	-100
2019-12-10T13:33:30	-100	-100	-100	-100
2019-12-10T13:33:40	-100	-100	-100	-100
2019-12-10T13:33:50	-100	-100	-100	-100
2019-12-10T13:34:00	-100	-100	-100	-100
2019-12-10T13:34:10	-100	-100	-100	-100
2019-12-10T13:34:20	-100	-100	-100	-100
2019-12-10T13:34:30	-100	-100	-100	-100
2019-12-10T13:34:40	-100	-100	-100	-100
2019-12-10T13:34:50	-100	-100	-100	-100
2019-12-10T13:35:00	-100	-100	-100	-100
2019-12-10T13:35:10	-100	-100	-100	-100
2019-12-10T13:35:20	-100	-100	-100	-100
2019-12-10T13:35:30	-100	-100	-100	-100
2019-12-10T13:35:40	-100	-100	-100	-100
2019-12-10T13:35:50	-100	-100	-100	-100
2019-12-10T13:36:00	-100	-100	-100	-100
2019-12-10T13:36:10	-100	-100	-100	-100
2019-12-10T13:36:20	-100	-100	-100	-100
2019-12-10T13:36:30	-100	-100	-100	-100
2019-12-10T13:36:40	-100	-100	-100	-100
2019-12-10T13:36:50	-100	-100	-100	-100
2019-12-10T13:37:00	-100	-100	-100	-100
2019-12-10T13:37:10	-100	-100	-100	-100
2019-12-10T13:37:20	-100	-100	-100	-100
2019-12-10T13:37:30	-100	-100	-100	-100
2019-12-10T13:37:40	-100	-100	-100	-100
2019-12-10T13:37:50	-100	-100	-100	-100
2019-12-10T13:38:00	-100	-100	-100	-100
2019-12-10T13:38:10	-100	-100	-100	-100
2019-12-10T13:38:20	-100	-100	-100	-100
2019-12-10T13:38:30	-100	-100	-100	-100
2019-12-10T13:38:40	-100	-100	-100	-100
2019-12-10T13:38:50	-100	-100	-100	-100
2019-12-10T13:39:00	-100	-100	-100	-100
2019-12-10T13:39:10	-100	-100	-100	-100
2019-12-10T13:39:20	-100	-100	-100	-100
2019-12-10T13:39:30	-100	-100	-100	-100
2019-12-10T13:39:40	-100	-100	-100	-100
2019-12-10T13:39:50	-100	-100	-100	-100
2019-12-10T13:40:00	-100	-100	-100	-100
2019-12-10T13:40:10	-100	-100	-100	-100
2019-12-10T13:40:20	-100	-100	-100	-100
2019-12-10T13:40:30	-100	-100	-100	-100
2019-12-10T13:40:40	-100	-100	-100	-100
2019-12-10T13:40:50	-100	-100	-100	-100
2019-12-10T13:41:00	-100	-100	-100	-100
2019-12-10T13:41:10	-100	-100	-100	-100
2019-12-10T13:41:20	-100	-100	-100	-100
2019-12-10T13:41:30	-100	-100	-100	-100
2019-12-10T13:41:40	-100	-100	-100	-100
2019-12-10T13:41:50	-100	-100	-100	-100
2019-12-10T13:42:00	-100	-100	-100	-100
2019-12-10T13:42:10	-100	-100	-100	-100
2019-12-10T13:42:20	-100	-100	-100	-100
2019-12-10T13:42:30	-100	-100	-100	-100
2019-12-10T13:42:40	-100	-100	-100	-100
2019-12-10T13:42:50	-100	-100	-100	-100
2019-12-10T13:43:00	-100	-100	-100	-100
2019-12-10T13:43:10	-100	-100	-100	-100
2019-12-10T13:43:20	-100	-100	-100	-100
2019-12-10T13:43:30	-100	-100	-100	-100
2019-12-10T13:43:40	-100	-100	-100	-100
2019-12-10T13:43:50	-100	-100	-100	-100
2019-12-10T13:44:00	-100	-100	-100	-100
2019-12-10T13:44:10	-100	-100	-100	-100
2019-12-10T13:44:20	-100	-100	-100	-100
2019-12-10T13:44:30	-100	-100	-100	-100
2019-12-10T13:44:40	-100	-100	-100	-100
2019-12-10T13:44:50	-100	-100	-100	-100
2019-12-10T13:45:00	-100	-100	-100	-100
2019-12-10T13:45:10	-100	-100	-100	-100
2019-12-10T13:45:21	-100	-100	-100	-100
2019-12-10T13:45:28	-100	-100	-100	-100
2019-12-10T13:45:38	-100	-100	-100	-100
2019-12-10T13:45:48	-100	-100	-100	-100
2019-12-10T13:45:58	-100	-100	-100	-100
2019-12-10T13:46:08	-100	-100	-100	-100
2019-12-10T13:46:18	-100	-100	-100	-100
2019-12-10T13:46:29	-100	-100	-100	-100
2019-12-10T13:46:39	-100	-100	-100	-100
2019-12-10T13:46:49	-100	-100	-100	-100
2019-12-10T13:46:59	-100	-100	-100	-100
2019-12-10T13:47:09	-100	-100	-100	-100
2019-12-10T13:47:18	-100	-100	-100	-100
2019-12-10T13:47:28	-100	-100	-100	-100
2019-12-10T13:47:38	-100	-100	-100	-100
2019-12-10T13:47:48	-100	-100	-100	-100
2019-12-10T13:47:58	-100	-100	-100	-100
2019-12-10T13:48:08	-100	-100	-100	-100
2019-12-10T13:48:18	-100	-100	-100	-100
2019-12-10T13:48:28	-100	-100	-100	-100
2019-12-10T13:48:38	-100	-100	-100	-100
2019-12-10T13:48:48	-100	-100	-100	-100
2019-12-10T13:48:58	-100	-100	-100	-100
2019-12-10T13:49:08	-100	-100	-100	-100
2019-12-10T13:49:18	-100	-100	-100	-100
2019-12-10T13:49:28	-100	-100	-100	-100
2019-12-10T13:49:38	-100	-100	-100	-100
2019-12-10T13:49:48	-100	-100	-100	-100
2019-12-10T13:49:58	-100	-100	-100	-100
2019-12-10T13:50:08	-100	-100	-100	-100
2019-12-10T13:50:18	-100	-100	-100	-100
2019-12-10T13:50:28	-100	-100	-100	-100
2019-12-10T13:50:38	-100	-100	-100	-100
2019-12-10T13:50:48	-100	-100	-100	-100
2019-12-10T13:50:58	-100	-100	-100	-100
2019-12-10T13:51:08	-100	-100	-100	-100
2019-12-10T13:51:18	-100	-100	-100	-100
2019-12-10T13:51:28	-100	-100	-100	-100
2019-12-10T13:51:38	-100	-100	-100	-100
2019-12-10T13:51:48	-100	-100	-100	-100
2019-12-10T13:51:58	-100	-100	-100	-100
2019-12-10T13:52:08	-100	-100	-100	-100
2019-12-10T13:52:18	-100	-100	-100	-100
2019-12-10T13:52:28	-100	-100	-100	-100
2019-12-10T13:52:38	-100	-100	-100	-100
2019-12-10T13:52:48	-100	-100	-100	-100
2019-12-10T13:52:58	-100	-100	-100	-100
2019-12-10T13:53:08	-100	-100	-100	-100
2019-12-10T13:53:18	-100	-100	-100	-100
2019-12-10T13:53:28	-100	-100	-100	-100
2019-12-10T13:53:38	-100	-100	-100	-100
2019-12-10T13:53:48	-100	-100	-100	-100
2019-12-10T13:53:58	-100	-100	-100	-100
2019-12-10T13:54:08	-100	-100	-100	-100
2019-12-10T13:54:18	-100	-100	-100	-100
2019-12-10T13:54:28	-100	-100	-100	-100
2019-12-10T13:54:38	-100	-100	-100	-100
2019-12-10T13:54:48	-100	-100	-100	-100
2019-12-10T13:54:58	-100	-100	-100	-100
2019-12-10T13:55:08	-100	-100	-100	-100
2019-12-10T13:55:18	-100	-100	-100	-100
2019-12-10T13:55:28	-100	-100	-100	-100
2019-12-10T13:55:38	-100	-100	-100	-100
2019-12-10T13:55:48	-100	-100	-100	-100
2019-12-10T13:55:58	-100	-100	-100	-100
2019-12-10T13:56:08	-100	-100	-100	-100
2019-12-10T13:56:18	-100	-100	-100	-100
2019-12-10T13:56:28	-100	-100	-100	-100
2019-12-10T13:56:38	-100	-100	-100	-100
2019-12-10T13:56:48	-100	-100	-100	-100
2019-12-10T13:56:58	-100	-100	-100	-100
2019-12-10T13:57:08	-100	-100	-100	-100
2019-12-10T13:57:18	-100	-100	-100	-100
2019-12-10T13:57:28	-100	-100	-100	-100
2019-12-10T13:57:38	-100	-100	-100	-100
2019-12-10T13:57:48	-100	-100	-100	-100
2019-12-10T13:57:58	-100	-100	-100	-100
2019-12-10T13:58:08	-100	-100	-100	-100
2019-12-10T13:58:18	-100	-100	-100	-100
2019-12-10T13:58:28	-100	-100	-100	-100
2019-12-10T13:58:38	-100	-100	-100	-100
2019-12-10T13:58:48	-100	-100	-100	-100
2019-12-10T13:58:58	-100	-100	-100	-100
2019-12-10T13:59:08	-100	-100	-100	-100
2019-12-10T13:59:18	-100	-100	-100	-100
2019-12-10T13:59:28	-100	-100	-100	-100
2019-12-10T13:59:38	-100	-100	-100	-100
2019-12-10T13:59:48	-100	-100	-100	-100
2019-12-10T13:59:58	-100	-100	-100	-100
2019-12-10T14:00:08	-100	-100	-100	-100
2019-12-10T14:00:18	-100	-100	-100	-100
2019-12-10T14:00:28	-100	-100	-100	-100
2019-12-10T14:00:38	-100	-100	-100	-100
2019-12-10T14:00:48	-100	-100	-100	-100
2019-12-10T14:00:58	-100	-100	-100	-100
2019-12-10T14:01:08	-100	-100	-100	-100
2019-12-10T14:01:18	-100	-100	-100	-100
2019-12-10T14:01:28	-100	-100	-100	-100
2019-12-10T14:01:38	-100	-100	-100	-100
2019-12-10T14:01:48	-100	-100	-100	-100
2019-12-10T14:01:58	-100	-100	-100	-100
2019-12-10T14:02:08	-100	-100	-100	-100
2019-12-10T14:02:18	-100	-100	-100	-100
2019-12-10T14:02:28	-100	-100	-100	-100
2019-12-10T14:02:38	-100	-100	-100	-100
2019-12-10T14:02:48	-100	-100	-100	-100
2019-12-10T14:02:58	-100	-100	-100	-100
2019-12-10T14:03:08	-100	-100	-100	-100
2019-12-10T14:03:18	-100	-100	-100	-100
2019-12-10T14:03:28	-100	-100	-100	-100
2019-12-10T14:03:38	-100	-100	-100	-100
2019-12-10T14:03:48	-100	-100	-100	-100
2019-12-10T14:03:58	-100	-100	-100	-100
2019-12-10T14:04:08	-100	-100	-100	-100
2019-12-10T14:04:18	-100	-100	-100	-100
2019-12-10T14:04:28	-100	-100	-100	-100
2019-12-10T14:04:38	-100	-100	-100	-100
2019-12-10T14:04:48	-100	-100	-100	-100
2019-12-10T14:04:58	-100	-100	-100	-100
