Время	T1	T2	T3	T4
2019-12-08T18:06:53	-100	-100	-100	-100
2019-12-08T18:07:03	-100	-100	-100	-100
2019-12-08T18:07:13	-100	-100	-100	-100
2019-12-08T18:07:23	-100	-100	-100	-100
2019-12-08T18:07:33	-100	-100	-100	-100
2019-12-08T18:07:43	-100	-100	-100	-100
2019-12-08T18:07:53	-100	-100	-100	-100
2019-12-08T18:08:03	-100	-100	-100	-100
2019-12-08T18:08:13	-100	-100	-100	-100
2019-12-08T18:08:23	-100	-100	-100	-100
2019-12-08T18:08:33	-100	-100	-100	-100
2019-12-08T18:08:43	-100	-100	-100	-100
2019-12-08T18:08:53	-100	-100	-100	-100
2019-12-08T18:09:03	-100	-100	-100	-100
2019-12-08T18:09:13	-100	-100	-100	-100
2019-12-08T18:09:23	-100	-100	-100	-100
2019-12-08T18:09:33	-100	-100	-100	-100
2019-12-08T18:09:43	-100	-100	-100	-100
2019-12-08T18:09:53	-100	-100	-100	-100
2019-12-08T18:10:03	-100	-100	-100	-100
2019-12-08T18:10:13	-100	-100	-100	-100
2019-12-08T18:10:23	-100	-100	-100	-100
2019-12-08T18:10:33	-100	-100	-100	-100
2019-12-08T18:10:43	-100	-100	-100	-100
2019-12-08T18:10:53	-100	-100	-100	-100
2019-12-08T18:11:03	-100	-100	-100	-100
2019-12-08T18:11:13	-100	-100	-100	-100
2019-12-08T18:11:23	-100	-100	-100	-100
2019-12-08T18:11:33	-100	-100	-100	-100
2019-12-08T18:11:43	-100	-100	-100	-100
2019-12-08T18:11:53	-100	-100	-100	-100
2019-12-08T18:12:03	-100	-100	-100	-100
2019-12-08T18:12:13	-100	-100	-100	-100
2019-12-08T18:12:23	-100	-100	-100	-100
2019-12-08T18:12:33	-100	-100	-100	-100
2019-12-08T18:12:43	-100	-100	-100	-100
2019-12-08T18:12:53	-100	-100	-100	-100
2019-12-08T18:13:03	-100	-100	-100	-100
2019-12-08T18:13:13	-100	-100	-100	-100
2019-12-08T18:13:23	-100	-100	-100	-100
2019-12-08T18:13:33	-100	-100	-100	-100
2019-12-08T18:13:43	-100	-100	-100	-100
2019-12-08T18:13:53	-100	-100	-100	-100
2019-12-08T18:14:03	-100	-100	-100	-100
2019-12-08T18:14:13	-100	-100	-100	-100
