Время	T1	T2	T3	T4
2019-12-09T21:51:13	-100	-100	-100	-100
2019-12-09T21:51:23	-100	-100	-100	-100
2019-12-09T21:51:33	-100	-100	-100	-100
2019-12-09T21:51:43	-100	-100	-100	-100
2019-12-09T21:51:53	-100	-100	-100	-100
2019-12-09T21:52:03	-100	-100	-100	-100
2019-12-09T21:52:13	-100	-100	-100	-100
2019-12-09T21:52:23	-100	-100	-100	-100
2019-12-09T21:52:33	-100	-100	-100	-100
2019-12-09T21:52:43	-100	-100	-100	-100
2019-12-09T21:53:20	-100	-100	-100	-100
2019-12-09T21:53:30	-100	-100	-100	-100
2019-12-09T21:53:40	-100	-100	-100	-100
2019-12-09T21:53:50	-100	-100	-100	-100
2019-12-09T21:54:00	-100	-100	-100	-100
2019-12-09T21:54:10	-100	-100	-100	-100
2019-12-09T21:54:20	-100	-100	-100	-100
2019-12-09T21:54:30	-100	-100	-100	-100
2019-12-09T21:54:40	-100	-100	-100	-100
2019-12-09T21:54:50	-100	-100	-100	-100
2019-12-09T21:55:00	-100	-100	-100	-100
2019-12-09T21:55:10	-100	-100	-100	-100
2019-12-09T21:55:20	-100	-100	-100	-100
2019-12-09T21:55:30	-100	-100	-100	-100
2019-12-09T21:55:40	-100	-100	-100	-100
2019-12-09T21:55:50	-100	-100	-100	-100
2019-12-09T21:56:00	-100	-100	-100	-100
2019-12-09T21:56:10	-100	-100	-100	-100
2019-12-09T21:56:20	-100	-100	-100	-100
2019-12-09T21:56:30	-100	-100	-100	-100
2019-12-09T21:56:40	-100	-100	-100	-100
2019-12-09T21:56:50	-100	-100	-100	-100
2019-12-09T21:57:00	-100	-100	-100	-100
2019-12-09T21:57:10	-100	-100	-100	-100
2019-12-09T21:57:20	-100	-100	-100	-100
2019-12-09T21:57:30	-100	-100	-100	-100
2019-12-09T21:57:40	-100	-100	-100	-100
2019-12-09T21:57:50	-100	-100	-100	-100
2019-12-09T21:58:00	-100	-100	-100	-100
2019-12-09T21:58:10	-100	-100	-100	-100
2019-12-09T21:58:20	-100	-100	-100	-100
2019-12-09T21:58:30	-100	-100	-100	-100
2019-12-09T21:58:40	-100	-100	-100	-100
2019-12-09T21:58:50	-100	-100	-100	-100
2019-12-09T21:59:00	-100	-100	-100	-100
2019-12-09T21:59:10	-100	-100	-100	-100
2019-12-09T21:59:20	-100	-100	-100	-100
2019-12-09T21:59:30	-100	-100	-100	-100
2019-12-09T21:59:40	-100	-100	-100	-100
2019-12-09T21:59:50	-100	-100	-100	-100
2019-12-09T22:00:00	-100	-100	-100	-100
2019-12-09T22:00:10	-100	-100	-100	-100
2019-12-09T22:00:20	-100	-100	-100	-100
2019-12-09T22:00:30	-100	-100	-100	-100
2019-12-09T22:00:40	-100	-100	-100	-100
2019-12-09T22:00:50	-100	-100	-100	-100
2019-12-09T22:01:00	-100	-100	-100	-100
2019-12-09T22:01:10	-100	-100	-100	-100
2019-12-09T22:01:20	-100	-100	-100	-100
2019-12-09T22:01:30	-100	-100	-100	-100
2019-12-09T22:01:40	-100	-100	-100	-100
2019-12-09T22:01:50	-100	-100	-100	-100
2019-12-09T22:02:00	-100	-100	-100	-100
2019-12-09T22:02:10	-100	-100	-100	-100
2019-12-09T22:02:20	-100	-100	-100	-100
2019-12-09T22:02:30	-100	-100	-100	-100
2019-12-09T22:02:40	-100	-100	-100	-100
2019-12-09T22:02:50	-100	-100	-100	-100
2019-12-09T22:03:00	-100	-100	-100	-100
2019-12-09T22:03:10	-100	-100	-100	-100
2019-12-09T22:03:20	-100	-100	-100	-100
2019-12-09T22:03:30	-100	-100	-100	-100
2019-12-09T22:03:40	-100	-100	-100	-100
2019-12-09T22:03:50	-100	-100	-100	-100
2019-12-09T22:04:00	-100	-100	-100	-100
2019-12-09T22:04:10	-100	-100	-100	-100
2019-12-09T22:04:20	-100	-100	-100	-100
2019-12-09T22:04:30	-100	-100	-100	-100
