time	T1	T2	T3	T4
2019-12-11T09:09:38	-100	-100	-100	-100
2019-12-11T09:09:48	-100	-100	-100	-100
2019-12-11T09:09:58	-100	-100	-100	-100
2019-12-11T09:10:08	-100	-100	-100	-100
2019-12-11T09:10:18	-100	-100	-100	-100
2019-12-11T09:10:28	-100	-100	-100	-100
2019-12-11T09:10:38	-100	-100	-100	-100
2019-12-11T09:10:48	-100	-100	-100	-100
2019-12-11T09:10:58	-100	258	-100	-100
2019-12-11T09:11:08	-100	258	-100	-100
2019-12-11T09:11:18	-100	258	-100	-100
2019-12-11T09:11:28	-100	258	-100	-100
2019-12-11T09:11:38	-100	258	-100	-100
2019-12-11T09:11:48	-100	258	-100	-100
2019-12-11T09:11:58	-100	258	-100	-100
2019-12-11T09:12:08	-100	258	-100	-100
2019-12-11T09:12:18	-100	258	-100	-100
2019-12-11T09:12:28	-100	258	-100	-100
2019-12-11T09:12:38	-100	258	-100	-100
2019-12-11T09:12:48	-100	258	-100	-100
2019-12-11T09:12:58	-100	258	-100	-100
2019-12-11T09:13:08	-100	258	-100	-100
2019-12-11T09:13:18	-100	258	-100	-100
2019-12-11T09:13:28	-100	258	-100	-100
2019-12-11T09:13:38	-100	258	-100	-100
2019-12-11T09:13:48	-100	258	-100	-100
2019-12-11T09:13:58	-100	258	-100	-100
2019-12-11T09:14:08	-100	258	-100	-100
2019-12-11T09:14:18	-100	258	-100	-100
2019-12-11T09:14:28	-100	258	-100	-100
2019-12-11T09:14:38	-100	258	-100	-100
2019-12-11T09:14:48	-100	258	-100	-100
2019-12-11T09:14:58	-100	258	-100	-100
2019-12-11T09:15:08	-100	258	-100	-100
2019-12-11T09:15:18	-100	258	-100	-100
2019-12-11T09:15:28	-100	258	-100	-100
2019-12-11T09:15:38	-100	258	-100	-100
2019-12-11T09:15:48	-100	258	-100	-100
2019-12-11T09:15:58	-100	258	-100	-100
2019-12-11T09:16:08	-100	258	-100	-100
2019-12-11T09:16:18	-100	259	-100	-100
2019-12-11T09:16:28	-100	259	-100	-100
2019-12-11T09:16:38	-100	259	-100	-100
2019-12-11T09:16:48	-100	259	-100	-100
2019-12-11T09:16:58	-100	259	-100	-100
2019-12-11T09:17:08	-100	259	-100	-100
2019-12-11T09:17:18	-100	259	-100	-100
2019-12-11T09:17:28	-100	259	-100	-100
2019-12-11T09:17:38	-100	259	-100	-100
2019-12-11T09:17:48	-100	259	-100	-100
2019-12-11T09:17:58	-100	259	-100	-100
2019-12-11T09:18:08	-100	259	-100	-100
2019-12-11T09:18:18	-100	259	-100	-100
2019-12-11T09:18:29	-100	259	-100	-100
2019-12-11T09:18:39	-100	259	-100	-100
2019-12-11T09:18:49	-100	259	-100	-100
2019-12-11T09:18:59	-100	259	-100	-100
2019-12-11T09:19:09	-100	259	-100	-100
2019-12-11T09:19:19	-100	259	-100	-100
2019-12-11T09:19:29	-100	259	-100	-100
2019-12-11T09:19:39	-100	259	-100	-100
2019-12-11T09:19:49	-100	259	-100	-100
2019-12-11T09:19:59	-100	259	-100	-100
2019-12-11T09:20:09	-100	259	-100	-100
2019-12-11T09:20:19	-100	259	-100	-100
2019-12-11T09:20:29	-100	259	-100	-100
2019-12-11T09:20:39	-100	259	-100	-100
2019-12-11T09:20:49	-100	259	-100	-100
2019-12-11T09:20:59	-100	259	-100	-100
2019-12-11T09:21:09	-100	259	-100	-100
2019-12-11T09:21:19	-100	260	-100	-100
2019-12-11T09:21:29	-100	260	-100	-100
2019-12-11T09:21:39	-100	260	-100	-100
2019-12-11T09:21:49	-100	260	-100	-100
2019-12-11T09:21:59	-100	260	-100	-100
2019-12-11T09:22:09	-100	260	-100	-100
2019-12-11T09:22:19	-100	260	-100	-100
2019-12-11T09:22:29	-100	260	-100	-100
2019-12-11T09:22:39	-100	260	-100	-100
2019-12-11T09:22:49	-100	260	-100	-100
2019-12-11T09:22:59	-100	260	-100	-100
2019-12-11T09:23:09	-100	260	-100	-100
2019-12-11T09:23:19	-100	260	-100	-100
2019-12-11T09:23:29	-100	260	-100	-100
2019-12-11T09:23:39	-100	260	-100	-100
2019-12-11T09:23:49	-100	260	-100	-100
2019-12-11T09:23:59	-100	260	-100	-100
2019-12-11T09:24:09	-100	260	-100	-100
2019-12-11T09:24:19	-100	260	-100	-100
2019-12-11T09:24:29	-100	260	-100	-100
2019-12-11T09:24:39	-100	260	-100	-100
2019-12-11T09:24:49	-100	260	-100	-100
2019-12-11T09:24:59	-100	260	-100	-100
2019-12-11T09:25:09	-100	260	-100	-100
2019-12-11T09:25:19	-100	260	-100	-100
2019-12-11T09:25:29	-100	260	-100	-100
2019-12-11T09:25:39	-100	260	-100	-100
2019-12-11T09:25:49	-100	260	-100	-100
2019-12-11T09:25:59	-100	260	-100	-100
2019-12-11T09:26:09	-100	260	-100	-100
2019-12-11T09:26:19	-100	260	-100	-100
2019-12-11T09:26:29	-100	260	-100	-100
2019-12-11T09:26:39	-100	260	-100	-100
2019-12-11T09:26:49	-100	260	-100	-100
2019-12-11T09:26:59	-100	260	-100	-100
2019-12-11T09:27:09	-100	260	-100	-100
2019-12-11T09:27:19	-100	260	-100	-100
2019-12-11T09:27:29	-100	260	-100	-100
2019-12-11T09:27:39	-100	261	-100	-100
2019-12-11T09:27:49	-100	260	-100	-100
2019-12-11T09:27:59	-100	260	-100	-100
2019-12-11T09:28:09	-100	261	-100	-100
2019-12-11T09:28:19	-100	261	-100	-100
2019-12-11T09:28:29	-100	260	-100	-100
2019-12-11T09:28:39	-100	260	-100	-100
2019-12-11T09:28:49	-100	260	-100	-100
2019-12-11T09:28:59	-100	260	-100	-100
2019-12-11T09:29:09	-100	260	-100	-100
2019-12-11T09:29:19	-100	260	-100	-100
2019-12-11T09:29:29	-100	261	-100	-100
2019-12-11T09:29:39	-100	261	-100	-100
2019-12-11T09:29:49	-100	261	-100	-100
2019-12-11T09:29:59	-100	261	-100	-100
2019-12-11T09:30:09	-100	261	-100	-100
2019-12-11T09:30:19	-100	261	-100	-100
2019-12-11T09:30:29	-100	261	-100	-100
2019-12-11T09:30:39	-100	261	-100	-100
2019-12-11T09:30:49	-100	261	-100	-100
2019-12-11T09:30:59	-100	261	-100	-100
2019-12-11T09:31:09	-100	261	-100	-100
2019-12-11T09:31:19	-100	261	-100	-100
2019-12-11T09:31:29	-100	261	-100	-100
2019-12-11T09:31:39	-100	261	-100	-100
2019-12-11T09:31:49	-100	261	-100	-100
2019-12-11T09:31:59	-100	261	-100	-100
2019-12-11T09:32:09	-100	261	-100	-100
2019-12-11T09:32:19	-100	261	-100	-100
2019-12-11T09:32:29	-100	261	-100	-100
2019-12-11T09:32:39	-100	261	-100	-100
2019-12-11T09:32:49	-100	262	-100	-100
2019-12-11T09:32:59	-100	262	-100	-100
2019-12-11T09:33:09	-100	261	-100	-100
2019-12-11T09:33:19	-100	261	-100	-100
2019-12-11T09:33:29	-100	261	-100	-100
2019-12-11T09:33:39	-100	261	-100	-100
2019-12-11T09:33:49	-100	261	-100	-100
