time	T1	T2	T3	T4
2020-11-29T17:47:02	-100	-100	-100	-100
2020-11-29T17:47:12	-100	-100	-100	-100
2020-11-29T17:47:22	-100	-100	-100	-100
2020-11-29T17:47:32	-100	-100	-100	-100
2020-11-29T17:47:42	-100	-100	-100	-100
2020-11-29T17:47:52	-100	-100	-100	-100
2020-11-29T17:48:02	-100	-100	-100	-100
2020-11-29T17:48:12	-100	-100	-100	-100
2020-11-29T17:48:22	-100	-100	-100	-100
2020-11-29T17:48:32	-100	-100	-100	-100
2020-11-29T17:48:42	-100	-100	-100	-100
2020-11-29T17:48:52	-100	-100	-100	-100
2020-11-29T17:49:02	-100	-100	-100	-100
2020-11-29T17:49:12	-100	-100	-100	-100
2020-11-29T17:49:22	-100	-100	-100	-100
2020-11-29T17:49:32	-100	-100	-100	-100
2020-11-29T17:49:42	-100	-100	-100	-100
2020-11-29T17:49:52	-100	-100	-100	-100
2020-11-29T17:50:02	-100	-100	-100	-100
2020-11-29T17:50:12	-100	-100	-100	-100
2020-11-29T17:50:22	-100	-100	-100	-100
2020-11-29T17:50:33	-100	-100	-100	-100
2020-11-29T17:50:43	-100	-100	-100	-100
2020-11-29T17:50:53	-100	-100	-100	-100
2020-11-29T17:51:03	-100	-100	-100	-100
2020-11-29T17:51:13	-100	-100	-100	-100
2020-11-29T17:51:23	-100	-100	-100	-100
2020-11-29T17:51:33	-100	-100	-100	-100
2020-11-29T17:51:43	-100	-100	-100	-100
2020-11-29T17:51:53	-100	-100	-100	-100
2020-11-29T17:52:03	-100	-100	-100	-100
2020-11-29T17:52:13	-100	-100	-100	-100
2020-11-29T17:52:23	-100	-100	-100	-100
2020-11-29T17:52:33	-100	-100	-100	-100
2020-11-29T17:52:43	-100	-100	-100	-100
2020-11-29T17:52:53	-100	-100	-100	-100
2020-11-29T17:53:03	-100	-100	-100	-100
2020-11-29T17:53:13	-100	-100	-100	-100
2020-11-29T17:53:23	-100	-100	-100	-100
2020-11-29T17:53:33	-100	-100	-100	-100
2020-11-29T17:53:43	-100	-100	-100	-100
2020-11-29T17:53:53	-100	-100	-100	-100
2020-11-29T17:54:03	-100	-100	-100	-100
